city,province,restaurant_count,avg_pizza_price,avg_min_spend
Evanston,Illinois,2,13.61,25.0
Spokane,Washington,1,9.88,25.0
Pleasanton,California,1,21.64,25.0
Columbia,Missouri,2,9.88,25.0
Cypress,Texas,1,9.67,25.0
Long Beach,California,2,8.96,25.0
Seymour,Indiana,1,5.99,25.0
Boulder,Colorado,1,13.42,25.0
Orange Park,Florida,1,6.99,25.0
Canyon Country,California,1,9.22,25.0
Cleveland,Ohio,3,12.37,25.0
Ypsilanti,Michigan,1,8.18,25.0
Milwaukee,Wisconsin,2,12.69,25.0
Yonkers,New York,2,14.58,25.0
Toledo,Ohio,2,10.91,25.0
Angola,Indiana,1,7.99,25.0
Saratoga Springs,New York,1,8.33,5.0
Roseville,California,1,8.72,25.0
Newport Beach,California,1,42.41,25.0
Yelm,Washington,1,13.5,25.0
Fayetteville,West Virginia,1,10.0,25.0
Huntington,Indiana,1,6.56,25.0
Phoenix,Arizona,3,10.52,25.0
Rochester,New York,1,14.83,25.0
Pittsburgh,Pennsylvania,1,10.25,25.0
Scottsdale,Arizona,2,11.88,25.0
Sioux Falls,South Dakota,1,4.75,25.0
Kingwood,Texas,1,7.12,25.0
Cincinnati,Ohio,1,7.49,25.0
Appleton,Wisconsin,1,22.75,25.0
Frisco,Texas,1,14.09,25.0
Jericho,New York,1,7.72,25.0
Albany,New York,2,13.95,25.0
Latrobe,Pennsylvania,1,14.57,25.0
Raleigh,North Carolina,1,14.77,25.0
North Bend,Ohio,1,8.39,25.0
Suwanee,Georgia,1,5.5,25.0
Bentonville,Arkansas,1,11.6,25.0
Lawrenceville,Georgia,1,7.93,25.0
Arlington Heights,Illinois,1,13.57,25.0
Boca Raton,Florida,2,24.41,25.0
York,Pennsylvania,1,5.08,25.0
West Babylon,New York,1,16.04,25.0
Casselberry,Florida,1,13.28,25.0
Jupiter,Florida,1,17.95,25.0
Bristow,Virginia,1,9.75,25.0
Black Mountain,North Carolina,1,7.53,25.0
Akron,Ohio,1,10.0,25.0
Fairless Hills,Pennsylvania,1,10.3,25.0
Central Valley,New York,1,10.95,25.0
Cape Coral,Florida,1,18.0,25.0
Ocala,Florida,1,7.62,25.0
Sykesville,Maryland,1,19.45,25.0
Sebastian,Florida,1,10.1,25.0
DeLand,Florida,1,10.59,25.0
McKinney,Texas,1,8.74,25.0
Orland Park,Illinois,1,3.95,25.0
Port Chester,New York,1,9.95,25.0
Valhalla,New York,1,15.5,25.0
Carmel,Indiana,1,10.9,25.0
Virginia Beach,Virginia,2,9.45,25.0
Kissimmee,Florida,1,6.24,25.0
Caledonia,Michigan,1,8.95,25.0
Glendale,Arizona,3,6.58,25.0
Ardmore,Pennsylvania,1,9.0,25.0
Northville,Michigan,1,8.99,25.0
Armonk,New York,1,14.95,25.0
Campbell,California,1,10.95,25.0
Herndon,Virginia,1,13.45,25.0
Minneapolis,Minnesota,2,10.22,25.0
Altoona,Iowa,1,5.95,25.0
Kennesaw,Georgia,1,5.95,25.0
Northbrook,Illinois,1,2.75,25.0
Clermont,Florida,1,10.14,25.0
Doylestown,Pennsylvania,1,6.99,25.0
Garden Grove,California,1,8.99,25.0
Phoenixville,Pennsylvania,1,8.99,25.0
Springfield,Missouri,1,6.0,25.0
Tacoma,Washington,1,15.76,25.0
Chico,California,1,2.0,25.0
Mesquite,Texas,1,10.24,25.0
Decatur,Georgia,1,0.99,25.0
Frankfort,Illinois,1,17.95,25.0
Lafayette,Colorado,1,8.75,25.0
Hollywood,Florida,1,16.05,25.0
Alpharetta,Georgia,1,10.5,25.0
Fort Worth,Texas,1,5.99,25.0
Morton Grove,Illinois,1,4.5,25.0
Aberdeen,Maryland,1,21.99,25.0
South Elgin,Illinois,1,3.95,25.0
Delray Beach,Florida,1,16.0,25.0
Glen Cove,New York,1,16.95,25.0
Tallahassee,Florida,1,6.34,25.0
Erie,Pennsylvania,1,1.59,25.0
Huntington Beach,California,1,7.88,25.0
Greenville,South Carolina,1,15.08,25.0
Prospect,Kentucky,1,3.59,25.0
Oklahoma City,Oklahoma,1,13.5,25.0
Clinton Township,Michigan,1,3.34,25.0
Chandler,Arizona,1,20.49,25.0
Fontana,California,1,15.99,25.0
Richmond,Virginia,1,13.0,25.0
